producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
DNK,Denmark,Denmark,Outside protocol,blue_water_consumption,Mm3,0.1084252496002659,100.0
DNK,Denmark,Denmark,Scope 2,blue_water_consumption,Mm3,0.0162429973183452,36.504090098716894
HRV,Croatia,Europe,Scope 2,blue_water_consumption,Mm3,0.014810655425615818,33.285082148422724
DEU,Germany,Europe,Scope 2,blue_water_consumption,Mm3,0.0026818581133994574,6.027138235930116
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,blue_water_consumption,Mm3,0.0023485378998615116,5.27804304935575
BEL,Belgium,Europe,Scope 2,blue_water_consumption,Mm3,0.001611287863968705,3.621166476143641
RoW Europe,RoW Europe,Europe,Scope 2,blue_water_consumption,Mm3,0.0014725631324052047,3.3094001191920874
RUS,Russia,Europe,Scope 2,blue_water_consumption,Mm3,0.0014139070669062258,3.177578001768436
RoW Middle East,RoW Middle East,Middle East,Scope 2,blue_water_consumption,Mm3,0.0005921749013256887,1.3308384855655444
GBR,United Kingdom,Europe,Scope 2,blue_water_consumption,Mm3,0.0005076234111064889,1.140819663518673
GRC,Greece,Europe,Scope 2,blue_water_consumption,Mm3,0.0004344422897877152,0.9763543130794101
TUR,Turkey,Middle East,Scope 2,blue_water_consumption,Mm3,0.0002729959920380635,0.613524098701343
ESP,Spain,Europe,Scope 2,blue_water_consumption,Mm3,0.00025814218782074094,0.5801420450796605
HUN,Hungary,Europe,Scope 2,blue_water_consumption,Mm3,0.0002261216526797759,0.5081799264579477
CAN,Canada,America,Scope 2,blue_water_consumption,Mm3,0.00022070980572333774,0.4960174822349741
SVK,Slovakia,Europe,Scope 2,blue_water_consumption,Mm3,0.00020785678341235284,0.4671319338792467
RoW America,RoW America,America,Scope 2,blue_water_consumption,Mm3,0.00019719980052028275,0.4431817074494707
POL,Poland,Europe,Scope 2,blue_water_consumption,Mm3,0.0001853733158610831,0.41660317313776896
SVN,Slovenia,Europe,Scope 2,blue_water_consumption,Mm3,0.00017568096000260744,0.39482082443744504
NLD,Netherlands,Europe,Scope 2,blue_water_consumption,Mm3,0.00015841423330239466,0.35601603152754246
