producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
DNK,Denmark,Denmark,Outside protocol,blue_water_consumption,Mm3,0.0709,100.0
DNK,Denmark,Denmark,Scope 2,blue_water_consumption,Mm3,0.012976325905406,36.70203433121485
HRV,Croatia,Europe,Scope 2,blue_water_consumption,Mm3,0.011695653806219444,33.07980168277372
DEU,Germany,Europe,Scope 2,blue_water_consumption,Mm3,0.002111206629548066,5.971303338310934
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,blue_water_consumption,Mm3,0.0018740882220989069,5.300641396386646
BEL,Belgium,Europe,Scope 2,blue_water_consumption,Mm3,0.0012911993253799793,3.65200768800009
RoW Europe,RoW Europe,Europe,Scope 2,blue_water_consumption,Mm3,0.0011729248061955173,3.3174819142749095
RUS,Russia,Europe,Scope 2,blue_water_consumption,Mm3,0.0011328279037228328,3.2040724714283213
RoW Middle East,RoW Middle East,Middle East,Scope 2,blue_water_consumption,Mm3,0.0004691381993879012,1.3269030406246058
GBR,United Kingdom,Europe,Scope 2,blue_water_consumption,Mm3,0.00040606337060964596,1.1485031955428333
GRC,Greece,Europe,Scope 2,blue_water_consumption,Mm3,0.00034769690965645675,0.9834204233227689
TUR,Turkey,Middle East,Scope 2,blue_water_consumption,Mm3,0.0002186934533847042,0.6185490941464001
ESP,Spain,Europe,Scope 2,blue_water_consumption,Mm3,0.00020648817389661508,0.5840278752698538
HUN,Hungary,Europe,Scope 2,blue_water_consumption,Mm3,0.00017998463667091277,0.5090656910393304
CAN,Canada,America,Scope 2,blue_water_consumption,Mm3,0.00017685652816530435,0.5002181985671527
SVK,Slovakia,Europe,Scope 2,blue_water_consumption,Mm3,0.00016642729903075545,0.4707203323348584
RoW America,RoW America,America,Scope 2,blue_water_consumption,Mm3,0.0001577364296426294,0.44613921523157885
SVN,Slovenia,Europe,Scope 2,blue_water_consumption,Mm3,0.00013877751497311702,0.39251612174922956
POL,Poland,Europe,Scope 2,blue_water_consumption,Mm3,0.0001321353916227402,0.37372964543730725
NLD,Netherlands,Europe,Scope 2,blue_water_consumption,Mm3,0.00012694615583125248,0.35905249324798016
AUT,Austria,Europe,Scope 2,blue_water_consumption,Mm3,6.112618917010171e-05,0.17288834372777057
LTU,Lithuania,Europe,Scope 2,blue_water_consumption,Mm3,5.416016265922133e-05,0.1531857448551596
ITA,Italy,Europe,Scope 2,blue_water_consumption,Mm3,4.728831866279472e-05,0.13374953031229506
AUS,Australia,Asia and Pacific,Scope 2,blue_water_consumption,Mm3,4.184830960943077e-05,0.11836309500740615
CHE,Switzerland,Europe,Scope 2,blue_water_consumption,Mm3,3.774064184086432e-05,0.10674503265584767
EST,Estonia,Europe,Scope 2,blue_water_consumption,Mm3,3.041773777003832e-05,0.0860330469542802
FIN,Finland,Europe,Scope 2,blue_water_consumption,Mm3,2.664143585324919e-05,0.07535221452101906
BGR,Bulgaria,Europe,Scope 2,blue_water_consumption,Mm3,2.118241618769897e-05,0.059912009902211565
RoW Africa,RoW Africa,Africa,Scope 2,blue_water_consumption,Mm3,1.9164048769466237e-05,0.05420329151636076
SWE,Sweden,Europe,Scope 2,blue_water_consumption,Mm3,1.30268211632964e-05,0.036844854317562827
PRT,Portugal,Europe,Scope 2,blue_water_consumption,Mm3,8.552783787868882e-06,0.02419055798213632
ZAF,South Africa,Africa,Scope 2,blue_water_consumption,Mm3,8.141807216825659e-06,0.023028158368431383
BRA,Brazil,America,Scope 2,blue_water_consumption,Mm3,4.458960224356602e-06,0.012611652360525168
CZE,Czech Republic,Europe,Scope 2,blue_water_consumption,Mm3,6.140051751883272e-07,0.0017366424967730873
LUX,Luxembourg,Europe,Scope 2,blue_water_consumption,Mm3,2.3599693176775242e-07,0.0006674899778983638
NOR,Norway,Europe,Scope 2,blue_water_consumption,Mm3,5.5114856565688024e-08,0.00015588598595471035
IRL,Ireland,Europe,Scope 2,blue_water_consumption,Mm3,2.6271506689233432e-08,7.430591274216442e-05
LVA,Latvia,Europe,Scope 2,blue_water_consumption,Mm3,1.3603836820806952e-08,3.847687624934692e-05
MEX,Mexico,America,Scope 2,blue_water_consumption,Mm3,7.271690437181039e-09,2.0567133872631793e-05
MLT,Malta,Europe,Scope 2,blue_water_consumption,Mm3,3.430279878612762e-09,9.702149189862075e-06
FRA,France,Europe,Scope 2,blue_water_consumption,Mm3,3.7582498079583296e-10,1.0629774135027208e-06
USA,United States,America,Scope 2,blue_water_consumption,Mm3,6.227223301662358e-11,1.7612979596215068e-07
IND,India,Asia and Pacific,Scope 2,blue_water_consumption,Mm3,2.355439152828429e-12,6.66208673259211e-09
CHN,China,Asia and Pacific,Scope 2,blue_water_consumption,Mm3,7.524423414473696e-13,2.1281959816188045e-09
TWN,Taiwan,Asia and Pacific,Scope 2,blue_water_consumption,Mm3,6.136555567741674e-14,1.7356536415969106e-10
JPN,Japan,Asia and Pacific,Scope 2,blue_water_consumption,Mm3,4.201218707201126e-15,1.1882660342277632e-11
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,12.242877591906616,21.339110398743976
RoW Middle East,RoW Middle East,Middle East,Scope 3,blue_water_consumption,Mm3,11.853119512070501,20.65976923634246
IND,India,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,9.167173431101824,15.97821463313758
CHN,China,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,5.17959436430558,9.027937683024414
DNK,Denmark,Denmark,Scope 3,blue_water_consumption,Mm3,5.065408812094918,8.828914366302238
RoW Africa,RoW Africa,Africa,Scope 3,blue_water_consumption,Mm3,2.497299706293524,4.352747442854193
USA,United States,America,Scope 3,blue_water_consumption,Mm3,2.137325105072265,3.7253183357231774
RoW America,RoW America,America,Scope 3,blue_water_consumption,Mm3,1.160718355325346,2.023110738484383
AUS,Australia,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.8996843794542292,1.5681333210331836
RoW Europe,RoW Europe,Europe,Scope 3,blue_water_consumption,Mm3,0.8797485817703261,1.5333855924481115
ESP,Spain,Europe,Scope 3,blue_water_consumption,Mm3,0.8613544772577123,1.50132500669659
TUR,Turkey,Middle East,Scope 3,blue_water_consumption,Mm3,0.7967228232145099,1.388673222789753
RUS,Russia,Europe,Scope 3,blue_water_consumption,Mm3,0.5070945710505741,0.8838565078364675
GRC,Greece,Europe,Scope 3,blue_water_consumption,Mm3,0.4396688066893891,0.7663346410513113
DEU,Germany,Europe,Scope 3,blue_water_consumption,Mm3,0.4191179375190303,0.7305148541814064
FRA,France,Europe,Scope 3,blue_water_consumption,Mm3,0.3160562804860185,0.5508802820969171
POL,Poland,Europe,Scope 3,blue_water_consumption,Mm3,0.30092680772468133,0.5245098894253126
ITA,Italy,Europe,Scope 3,blue_water_consumption,Mm3,0.2756353346169194,0.4804273171099468
NLD,Netherlands,Europe,Scope 3,blue_water_consumption,Mm3,0.25278124518389794,0.4405930596967707
BRA,Brazil,America,Scope 3,blue_water_consumption,Mm3,0.19464056124876059,0.33925491726769463
PRT,Portugal,Europe,Scope 3,blue_water_consumption,Mm3,0.18676273735229013,0.3255240151520208
NOR,Norway,Europe,Scope 3,blue_water_consumption,Mm3,0.18295565983841142,0.3188883490877828
MEX,Mexico,America,Scope 3,blue_water_consumption,Mm3,0.16993185666377852,0.29618809976578314
GBR,United Kingdom,Europe,Scope 3,blue_water_consumption,Mm3,0.16013538277172562,0.27911302600705135
SWE,Sweden,Europe,Scope 3,blue_water_consumption,Mm3,0.1594516664713253,0.27792132107443746
BEL,Belgium,Europe,Scope 3,blue_water_consumption,Mm3,0.14981816573810205,0.26113030653317243
ROU,Romania,Europe,Scope 3,blue_water_consumption,Mm3,0.12405737385586664,0.21622972022840636
ZAF,South Africa,Africa,Scope 3,blue_water_consumption,Mm3,0.08252524814530862,0.14383998922121338
IRL,Ireland,Europe,Scope 3,blue_water_consumption,Mm3,0.07589752882423215,0.1322879963810796
IDN,Indonesia,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.0676693701786591,0.11794646724316397
CAN,Canada,America,Scope 3,blue_water_consumption,Mm3,0.06264578580469586,0.10919045210304101
BGR,Bulgaria,Europe,Scope 3,blue_water_consumption,Mm3,0.05901997162250033,0.1028707246910517
SVK,Slovakia,Europe,Scope 3,blue_water_consumption,Mm3,0.05610415652086331,0.0977885126139425
KOR,South Korea,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.055645449802824584,0.09698899524366798
FIN,Finland,Europe,Scope 3,blue_water_consumption,Mm3,0.04377525381122479,0.07629946201767832
HUN,Hungary,Europe,Scope 3,blue_water_consumption,Mm3,0.04233064416749537,0.07378153398652568
LVA,Latvia,Europe,Scope 3,blue_water_consumption,Mm3,0.03807543822550586,0.0663647883167387
AUT,Austria,Europe,Scope 3,blue_water_consumption,Mm3,0.03582282951638863,0.06243853278014805
CZE,Czech Republic,Europe,Scope 3,blue_water_consumption,Mm3,0.031207124718204724,0.0543934442364571
CHE,Switzerland,Europe,Scope 3,blue_water_consumption,Mm3,0.027851432242303673,0.04854453398885122
CYP,Cyprus,Middle East,Scope 3,blue_water_consumption,Mm3,0.026209258753933064,0.045682255811260314
HRV,Croatia,Europe,Scope 3,blue_water_consumption,Mm3,0.025411741106592244,0.04429219722464154
JPN,Japan,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.02297171485791807,0.040039276364703204
TWN,Taiwan,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.016805587898538678,0.02929183051865051
LTU,Lithuania,Europe,Scope 3,blue_water_consumption,Mm3,0.009528539359854959,0.01660806879855907
SVN,Slovenia,Europe,Scope 3,blue_water_consumption,Mm3,0.005627421369391299,0.009808491913786334
EST,Estonia,Europe,Scope 3,blue_water_consumption,Mm3,0.0040097255343692646,0.006988877835643158
MLT,Malta,Europe,Scope 3,blue_water_consumption,Mm3,0.001975868763429555,0.003443902902706946
LUX,Luxembourg,Europe,Scope 3,blue_water_consumption,Mm3,0.001780501703701501,0.0031033817119559323
DNK,Denmark,Denmark,Outside protocol,climate_change,kt CO2eq,293.4753186512448,100.0
DNK,Denmark,Denmark,Scope 1,climate_change,kt CO2eq,163.39469914555332,100.0
DNK,Denmark,Denmark,Scope 2,climate_change,kt CO2eq,5.184921211253403,26.07214190579284
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,climate_change,kt CO2eq,3.1609249056473385,15.894567985859512
RoW Europe,RoW Europe,Europe,Scope 2,climate_change,kt CO2eq,1.413715939103369,7.108806687126886
RUS,Russia,Europe,Scope 2,climate_change,kt CO2eq,1.3221416890924627,6.6483297109254025
DEU,Germany,Europe,Scope 2,climate_change,kt CO2eq,1.287191224737589,6.472582880991734
CZE,Czech Republic,Europe,Scope 2,climate_change,kt CO2eq,1.2336366266049197,6.203286005430317
RoW Middle East,RoW Middle East,Middle East,Scope 2,climate_change,kt CO2eq,0.844537945765053,4.2467208795811935
NLD,Netherlands,Europe,Scope 2,climate_change,kt CO2eq,0.7596195565114683,3.8197125982932314
ITA,Italy,Europe,Scope 2,climate_change,kt CO2eq,0.7020850913438691,3.5304031412723953
HRV,Croatia,Europe,Scope 2,climate_change,kt CO2eq,0.5582784549907084,2.8072779717217498
POL,Poland,Europe,Scope 2,climate_change,kt CO2eq,0.540464708008098,2.717702350361009
GRC,Greece,Europe,Scope 2,climate_change,kt CO2eq,0.4416856623476033,2.2209963849570267
HUN,Hungary,Europe,Scope 2,climate_change,kt CO2eq,0.25101401799606887,1.2622126414057282
FIN,Finland,Europe,Scope 2,climate_change,kt CO2eq,0.2430203293206562,1.2220167392879202
