producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Denmark,Private travel,Outside protocol,blue_water_consumption,Mm3,0.0709,100.0
Denmark,Electricity,Scope 2,blue_water_consumption,Mm3,5.290314803168896,99.62840015458997
Europe,Electricity,Scope 2,blue_water_consumption,Mm3,0.015024895200137497,0.28295221115829067
Middle East,Electricity,Scope 2,blue_water_consumption,Mm3,0.003856912457993813,0.0726342442790097
Asia and Pacific,Electricity,Scope 2,blue_water_consumption,Mm3,0.0005976461338540864,0.01125500662811079
America,Electricity,Scope 2,blue_water_consumption,Mm3,0.00020550869813385042,0.00387018609944797
Africa,Electricity,Scope 2,blue_water_consumption,Mm3,2.8385485253782723e-05,0.0005345618528697208
Europe,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,1.6841250909678512e-05,0.000317158231061838
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,1.936555862408067e-06,3.6469656260557384e-05
Middle East,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,3.9851885214953546e-10,7.504996800439784e-09
Asia and Pacific,Food and catering,Scope 3,blue_water_consumption,Mm3,32.571344761331886,40.14236983362077
America,Food and catering,Scope 3,blue_water_consumption,Mm3,17.015192168193487,20.970277457399664
Middle East,Food and catering,Scope 3,blue_water_consumption,Mm3,12.656797150471949,15.598798141320177
Africa,Food and catering,Scope 3,blue_water_consumption,Mm3,4.8481850806738445,5.975118312010826
Europe,Food and catering,Scope 3,blue_water_consumption,Mm3,3.7700563709097734,4.646384674737938
Asia and Pacific,Chemical,Scope 3,blue_water_consumption,Mm3,1.894056142967907,2.334318792600873
Denmark,Food and catering,Scope 3,blue_water_consumption,Mm3,1.6875548709888746,2.0798174666152014
Europe,Chemical,Scope 3,blue_water_consumption,Mm3,0.8324273489659508,1.0259203832898574
Asia and Pacific,Metal Products,Scope 3,blue_water_consumption,Mm3,0.7442571194363874,0.9172554820392087
Denmark,Electricity,Scope 3,blue_water_consumption,Mm3,0.4045298688481775,0.498560551400016
America,Chemical,Scope 3,blue_water_consumption,Mm3,0.3891573389778261,0.4796147638110852
Asia and Pacific,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.3612617788347958,0.44523503831363104
Asia and Pacific,Electricity,Scope 3,blue_water_consumption,Mm3,0.29318058020648097,0.3613287497007486
Europe,Electricity,Scope 3,blue_water_consumption,Mm3,0.274864971540539,0.3387557812776282
Asia and Pacific,Textile,Scope 3,blue_water_consumption,Mm3,0.26528905259788954,0.326953994077581
Europe,Services,Scope 3,blue_water_consumption,Mm3,0.25836561412303927,0.3184212414444228
Asia and Pacific,Paper Products,Scope 3,blue_water_consumption,Mm3,0.24697713411634956,0.3043855736013785
America,Textile,Scope 3,blue_water_consumption,Mm3,0.2411910951408552,0.2972546025552651
Europe,Metal Products,Scope 3,blue_water_consumption,Mm3,0.18467569975251646,0.2276025228024722
