mrio_vintage,mrio_year,country_producing,sector_producing,exiobase_industry_index,dst_nace_prefixes,exiobase_output_meur,national_accounts_output_meur,ratio_exiobase_over_dst,unit,source_national_accounts
v3.10.2,2022,DNK,Health and social work,137,86;87;88,16326.113359,45320.98661218329,0.3602329644476711,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.10.2,2022,DNK,Education,136,85,109672.504286,22935.119898919296,4.781858772456985,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.10.2,2022,DNK,Financial intermediation,127,64,75.908981104,18979.936683105752,0.003999432789023338,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.10.2,2022,DNK,Insurance and pensions,128,65,1489.84945264,5862.402803042696,0.2541363162331221,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.10.2,2022,DNK,Real estate,130,68,9914.89372236,46965.1161352757,0.21111187490310243,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.10.2,2022,DNK,Machinery n.e.c.,85,28,28.4317310431,21149.99451979678,0.001344290232155256,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.10.2,2022,DNK,Electrical machinery n.e.c.,87,27,0.0,3298.8305010803074,0.0,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.10.2,2022,DNK,Medical/precision instruments,89,26,0.0,5830.854395688722,0.0,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.10.2,2022,DNK,Public administration,135,84,8825.76466129,24680.741034464212,0.35759723133781496,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.10.2,2022,DNK,Post and telecommunications,126,61,3475.9996632,6612.368541318837,0.5256814772920555,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.10.2,2022,DNK,Construction,112,41;42;43,36439.7241544,51314.939912267844,0.7101192014781716,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.10.2,2022,DNK,Sea and coastal water transport,122,50,71645.437781,78950.17787545634,0.907476584714229,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.10.2,2022,DNK,TOTAL (all 163 industries),all,all,681918.4031714703,706280.6345155549,0.9655063013857164,M.EUR,Statistics Denmark 2022
v3.10.2,2016,DNK,Health and social work,137,86;87;88,36755.9612004,36639.50881104604,1.0031783283437155,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.10.2,2016,DNK,Education,136,85,20369.2847544,20923.63898368072,0.9735058404652706,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.10.2,2016,DNK,Financial intermediation,127,64,11852.7913412,16828.475742608367,0.7043294664643733,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.10.2,2016,DNK,Insurance and pensions,128,65,3995.46967846,4438.678949505471,0.9001483828662917,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.10.2,2016,DNK,Real estate,130,68,37716.0360244,38013.14739698061,0.9921839838864747,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.10.2,2016,DNK,Machinery n.e.c.,85,28,33165.4161093,18951.304134817685,1.7500334474801598,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.10.2,2016,DNK,Electrical machinery n.e.c.,87,27,15.98959859,2459.5280691242533,0.0065010840049869005,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.10.2,2016,DNK,Medical/precision instruments,89,26,0.0,4712.315019613397,0.0,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.10.2,2016,DNK,Public administration,135,84,19258.5965414,20084.486384091324,0.9588792151864285,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.10.2,2016,DNK,Post and telecommunications,126,61,7953.58228278,5588.846102186643,1.4231170687752792,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.10.2,2016,DNK,Construction,112,41;42;43,32659.7490796,35525.11081985193,0.9193426375280799,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.10.2,2016,DNK,Sea and coastal water transport,122,50,27932.2059509,24391.44227153065,1.1451641784832904,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.10.2,2016,DNK,TOTAL (all 163 industries),all,all,522052.1602736797,492163.59434532584,1.060728924836693,M.EUR,Statistics Denmark 2016
v3.10.2,2017,DNK,Health and social work,137,86;87;88,40228.8421386,37426.59666302689,1.0748731043007551,M.EUR,"Statistics Denmark, published 117-industry IO table 2017, 'Total Output' row"
v3.10.2,2017,DNK,Education,136,85,21335.0819918,21118.855103610404,1.0102385705630714,M.EUR,"Statistics Denmark, published 117-industry IO table 2017, 'Total Output' row"
v3.10.2,2017,DNK,Financial intermediation,127,64,17767.5204588,17762.16811222004,1.0003013340796094,M.EUR,"Statistics Denmark, published 117-industry IO table 2017, 'Total Output' row"
v3.10.2,2017,DNK,Insurance and pensions,128,65,4292.67601431,4683.973566861871,0.9164603414245931,M.EUR,"Statistics Denmark, published 117-industry IO table 2017, 'Total Output' row"
v3.10.2,2017,DNK,Real estate,130,68,36486.2848858,39637.78958254984,0.9204924207444387,M.EUR,"Statistics Denmark, published 117-industry IO table 2017, 'Total Output' row"
v3.10.2,2017,DNK,Machinery n.e.c.,85,28,32370.422726,19642.119655091676,1.6480106676067858,M.EUR,"Statistics Denmark, published 117-industry IO table 2017, 'Total Output' row"
v3.10.2,2017,DNK,Electrical machinery n.e.c.,87,27,0.0,2566.383852360165,0.0,M.EUR,"Statistics Denmark, published 117-industry IO table 2017, 'Total Output' row"
v3.10.2,2017,DNK,Medical/precision instruments,89,26,0.0,4995.973841259044,0.0,M.EUR,"Statistics Denmark, published 117-industry IO table 2017, 'Total Output' row"
v3.10.2,2017,DNK,Public administration,135,84,19854.9288742,20577.57370457891,0.9648819223901938,M.EUR,"Statistics Denmark, published 117-industry IO table 2017, 'Total Output' row"
v3.10.2,2017,DNK,Post and telecommunications,126,61,11078.1388258,5481.757642507922,2.020909997898359,M.EUR,"Statistics Denmark, published 117-industry IO table 2017, 'Total Output' row"
v3.10.2,2017,DNK,Construction,112,41;42;43,35705.0199048,38013.02356065706,0.9392838706404347,M.EUR,"Statistics Denmark, published 117-industry IO table 2017, 'Total Output' row"
