producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
DNK,Denmark,Denmark,Outside protocol,blue_water_consumption,Mm3,0.0761,100.0
DNK,Denmark,Denmark,Scope 2,blue_water_consumption,Mm3,0.0404665849300418,57.067679162929686
HRV,Croatia,Europe,Scope 2,blue_water_consumption,Mm3,0.012026592531483365,16.96040634999218
GRC,Greece,Europe,Scope 2,blue_water_consumption,Mm3,0.007712115508824423,10.875949484887547
DEU,Germany,Europe,Scope 2,blue_water_consumption,Mm3,0.0036515695783407263,5.149596920474498
RoW Europe,RoW Europe,Europe,Scope 2,blue_water_consumption,Mm3,0.001350899839662962,1.9050957416944407
GBR,United Kingdom,Europe,Scope 2,blue_water_consumption,Mm3,0.001145587550353381,1.615555720593538
BEL,Belgium,Europe,Scope 2,blue_water_consumption,Mm3,0.0010758841498781605,1.5172570551202376
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,blue_water_consumption,Mm3,0.0010361337841149672,1.4611994183341164
RUS,Russia,Europe,Scope 2,blue_water_consumption,Mm3,0.0005238070968115279,0.7386947872123056
TUR,Turkey,Middle East,Scope 2,blue_water_consumption,Mm3,0.00037571914887086534,0.5298549378505563
RoW Middle East,RoW Middle East,Middle East,Scope 2,blue_water_consumption,Mm3,0.0002794871176059445,0.3941444820530735
CAN,Canada,America,Scope 2,blue_water_consumption,Mm3,0.0002443711129181403,0.3446224160701886
POL,Poland,Europe,Scope 2,blue_water_consumption,Mm3,0.00017016960019159688,0.23998032361284402
ESP,Spain,Europe,Scope 2,blue_water_consumption,Mm3,0.00014383484395572062,0.2028419433343727
HUN,Hungary,Europe,Scope 2,blue_water_consumption,Mm3,0.00012386674992858148,0.1746820977381604
RoW America,RoW America,America,Scope 2,blue_water_consumption,Mm3,0.00010973519504774467,0.15475318499676846
SVK,Slovakia,Europe,Scope 2,blue_water_consumption,Mm3,9.077317846177854e-05,0.1280121521005945
