producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Private travel,Outside protocol,blue_water_consumption,Mm3,0.0709,100.0
Electricity,Scope 2,blue_water_consumption,Mm3,0.03528040720799061,99.78654404999685
"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,7.546922191539579e-05,0.21345595000315035
Food and catering,Scope 3,blue_water_consumption,Mm3,46.576904479384766,85.00813263844567
Electricity,Scope 3,blue_water_consumption,Mm3,3.8780263887726996,7.077837939575684
Chemical,Scope 3,blue_water_consumption,Mm3,1.8247760236967403,3.3304231784343985
Metal Products,Scope 3,blue_water_consumption,Mm3,0.8213384724392059,1.4990358544989468
Paper Products,Scope 3,blue_water_consumption,Mm3,0.4378937894231333,0.7992058241936006
"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.33597416849069206,0.6131909579948431
Services,Scope 3,blue_water_consumption,Mm3,0.23677139961908175,0.43213465490644365
Textile,Scope 3,blue_water_consumption,Mm3,0.21281233160103358,0.3884066387418391
General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.11658732332656292,0.21278508643038796
Private travel,Scope 3,blue_water_consumption,Mm3,0.0915,0.1669978763801377
Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.08836658551645285,0.1612790396088684
Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.05347091482841372,0.09759048332730388
Transport,Scope 3,blue_water_consumption,Mm3,0.03676610912695294,0.06710231854602774
Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.028849886735168494,0.052654314957165486
Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.019727867090070135,0.036005594639905124
Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.014088271245173702,0.02571269267553406
Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.009349639664762077,0.017064152665953763
Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.004716752651108526,0.008608608482464572
"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.0018535723772923637,0.003382979789341072
Construction,Scope 3,blue_water_consumption,Mm3,0.001341925220311258,0.0024491657054964864
Private travel,Outside protocol,climate_change,kt CO2eq,293.4753186512448,100.0
Operational impact,Scope 1,climate_change,kt CO2eq,163.39469914555332,100.0
"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,11.717597688884016,58.92141023792376
Electricity,Scope 2,climate_change,kt CO2eq,8.16922722173597,41.07858976207625
Transport,Scope 3,climate_change,kt CO2eq,870.0931007447377,23.96569159329166
Food and catering,Scope 3,climate_change,kt CO2eq,442.75426264069944,12.195145670020914
Coal and Petroleum,Scope 3,climate_change,kt CO2eq,365.86631323671287,10.077357491860026
Waste management and disposal,Scope 3,climate_change,kt CO2eq,339.2767661350329,9.34497967516577
Private travel,Scope 3,climate_change,kt CO2eq,327.9446,9.032848480878991
Electricity,Scope 3,climate_change,kt CO2eq,295.608863865595,8.142198642400896
Chemical,Scope 3,climate_change,kt CO2eq,237.06744276146176,6.529744018391329
"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,230.71497357393065,6.354772722476041
Services,Scope 3,climate_change,kt CO2eq,147.11153483773123,4.052014285274944
Metal Products,Scope 3,climate_change,kt CO2eq,82.03841965696166,2.259651826473433
Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,79.05416901966176,2.177454150903545
