indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,26.596568643545872,46.271633814430714
blue_water_consumption,Mm3,imported,30.882639352890184,53.72836618556928
climate_change,kt CO2eq,domestic,5572.988661409865,86.82211154398402
climate_change,kt CO2eq,imported,845.8700397939099,13.177888456015983
land_use,km2,domestic,1886.9093150059434,53.67721259229183
land_use,km2,imported,1628.379992838831,46.322787407708184
material_extraction,kt,domestic,2518.4537032276603,80.52167816162837
material_extraction,kt,imported,609.2179508236317,19.47832183837162
waste_generation,kt,domestic,222.09714359868244,80.68831825234277
waste_generation,kt,imported,53.15601374697081,19.31168174765725
