consuming_country_iso3,model,scenario,analysis_year,indicator,unit,demand_component,n_stressor_rows,value
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,pm2_5,kt,healthcare_services,47,0.5316280390143988
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,pm2_5,kt,pharmaceuticals,47,0.32141279322221794
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,pm2_5,kt,medical_appliances,47,0.29440527688987067
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,pm10,kt,healthcare_services,47,1.585100651290475
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,pm10,kt,pharmaceuticals,47,1.0078838057610786
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,pm10,kt,medical_appliances,47,0.6764419531003646
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,nox,kt,healthcare_services,23,10.061881541497467
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,nox,kt,pharmaceuticals,23,2.9526132241535943
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,nox,kt,medical_appliances,23,2.3766285914627896
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,sox,kt,healthcare_services,22,10.337065536868076
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,sox,kt,pharmaceuticals,22,9.260284617549067
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,sox,kt,medical_appliances,22,3.8817358571581457
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,nh3,kt,healthcare_services,4,2.2605825933332744
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,nh3,kt,pharmaceuticals,4,1.8213566807795403
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,nh3,kt,medical_appliances,4,0.39324845406506037
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,nmvoc,kt,healthcare_services,48,4.115501741630812
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,nmvoc,kt,pharmaceuticals,48,6.435267407928606
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,nmvoc,kt,medical_appliances,48,0.8146013878661685
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,energy_use_final,TJ,healthcare_services,1,20233.504403286504
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,energy_use_final,TJ,pharmaceuticals,1,17850.479765012384
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,energy_use_final,TJ,medical_appliances,1,44411.5114729335
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,energy_use_gross,TJ,healthcare_services,1,61666.84937963798
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,energy_use_gross,TJ,pharmaceuticals,1,36921.072709780594
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,energy_use_gross,TJ,medical_appliances,1,52672.72586652355
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,nitrogen_to_water,kt,healthcare_services,2,2.1774370401418484
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,nitrogen_to_water,kt,pharmaceuticals,2,1.9728631437088964
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,nitrogen_to_water,kt,medical_appliances,2,0.3177582502192581
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,phosphorus_to_water,kt,healthcare_services,2,0.023432746401717452
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,phosphorus_to_water,kt,pharmaceuticals,2,0.03337929207798295
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,phosphorus_to_water,kt,medical_appliances,2,0.010219522506187184
