consuming_country_iso3,model,analysis_year,indicator,unit,scope,producing_country_iso3,producing_country_name,producing_world_region,producing_sector_code,producing_sector_name,producing_sector_group,value,component_type
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWC,Production of electricity by coal,Electricity,0.0035974167981408,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWG,Production of electricity by gas,Electricity,0.0020949364966692,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWH,Production of electricity by hydro,Electricity,4.520522501980986e-06,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWW,Production of electricity by wind,Electricity,5.991925727055661e-05,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWP,Production of electricity by petroleum and other oil derivatives,Electricity,0.0002617960199913,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWB,Production of electricity by biomass and waste,Electricity,0.000987006439337,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWS,Production of electricity by solar photovoltaic,Electricity,1.273945628018407e-05,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWM,Production of electricity by Geothermal,Electricity,4.096750499807456e-07,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWZ,Production of electricity nec,Electricity,1.0603174263000388e-14,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWT,Transmission of electricity,Electricity,0.0006872156896495,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWD,Distribution and trade of electricity,Electricity,2.592409193879396e-14,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",0.0503407062660295,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,POWC,Production of electricity by coal,Electricity,0.0300974065858999,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,POWG,Production of electricity by gas,Electricity,0.1068889947444337,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,POWN,Production of electricity by nuclear,Electricity,0.0004161348920907,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,POWH,Production of electricity by hydro,Electricity,0.0001309023044687,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,POWW,Production of electricity by wind,Electricity,0.0331246313616031,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,POWP,Production of electricity by petroleum and other oil derivatives,Electricity,0.0001902114568045,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,POWB,Production of electricity by biomass and waste,Electricity,0.0140243327928129,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,POWS,Production of electricity by solar photovoltaic,Electricity,1.5450913044977609e-06,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,POWZ,Production of electricity nec,Electricity,0.0010415475146448,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,POWT,Transmission of electricity,Electricity,6.856162471790354e-05,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,POWD,Distribution and trade of electricity,Electricity,0.0093853167539554,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",0.7365709772213443,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,POWC,Production of electricity by coal,Electricity,2.155441828898147e-06,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,POWG,Production of electricity by gas,Electricity,1.169606578736822e-09,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,POWN,Production of electricity by nuclear,Electricity,6.4787539579742706e-15,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,POWH,Production of electricity by hydro,Electricity,1.1330238907122347e-10,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,POWW,Production of electricity by wind,Electricity,4.694163617744269e-09,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,POWP,Production of electricity by petroleum and other oil derivatives,Electricity,9.077463524251898e-06,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,POWB,Production of electricity by biomass and waste,Electricity,6.872721709459973e-07,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,POWS,Production of electricity by solar photovoltaic,Electricity,2.061684471403163e-08,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,POWT,Transmission of electricity,Electricity,2.482822629841284e-07,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,POWD,Distribution and trade of electricity,Electricity,3.691191829073378e-12,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",4.122742025969594e-06,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CYP,Cyprus,Middle East,POWW,Production of electricity by wind,Electricity,1.3600447580760565e-08,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CYP,Cyprus,Middle East,POWP,Production of electricity by petroleum and other oil derivatives,Electricity,1.819373370457392e-09,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CYP,Cyprus,Middle East,POWB,Production of electricity by biomass and waste,Electricity,7.176302372635974e-16,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CYP,Cyprus,Middle East,POWS,Production of electricity by solar photovoltaic,Electricity,6.744739174758179e-16,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CYP,Cyprus,Middle East,POWT,Transmission of electricity,Electricity,2.4349154259607454e-09,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CYP,Cyprus,Middle East,POWD,Distribution and trade of electricity,Electricity,3.326076078533028e-12,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CZE,Czech Republic,Europe,POWC,Production of electricity by coal,Electricity,0.0283580272484667,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CZE,Czech Republic,Europe,POWG,Production of electricity by gas,Electricity,0.0003976427295747,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CZE,Czech Republic,Europe,POWN,Production of electricity by nuclear,Electricity,0.0004669536285659,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CZE,Czech Republic,Europe,POWH,Production of electricity by hydro,Electricity,3.84702619720469e-07,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CZE,Czech Republic,Europe,POWW,Production of electricity by wind,Electricity,0.0062408171743478,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CZE,Czech Republic,Europe,POWP,Production of electricity by petroleum and other oil derivatives,Electricity,2.87346124777971e-05,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CZE,Czech Republic,Europe,POWB,Production of electricity by biomass and waste,Electricity,0.0001412096960809,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CZE,Czech Republic,Europe,POWS,Production of electricity by solar photovoltaic,Electricity,0.000506933083246,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CZE,Czech Republic,Europe,POWZ,Production of electricity nec,Electricity,1.1918630574819631e-05,MRIO supply-chain node
DNK,EXIOBASE v3.7 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,CZE,Czech Republic,Europe,POWT,Transmission of electricity,Electricity,0.0003694108320555,MRIO supply-chain node
